Case,Definitions,Weight,Classification,Comments,Privacy Related?
Content is published under a free license instead of a bilateral one,"User-generated content, such as posts or comments, is published under a free license, meaning other users can reuse it (e.g. Creative Commons license).",90,good,licensing of USER content means privacy,1
Content you post may be edited by the service for any reason,This service can edit any content on the service for whatever the reason and at their sole discretion.,70,blocker,this one is pretty ridiculous,1
Copyright license limited for the purposes of that same service but transferable and sublicenseable,,15,good,"licensing, unsure object. probably privacy?",1
Critical changes to the terms are made without user involvement,"They may significantly update the terms at any time and at their sole discretion, meaning for any reason and without necessarily taking into account the interests or suggestions of the users of the Service.",35,neutral,caveat: matters what the changes are,0
"Defend, indemnify, hold harmless; survives termination",,35,bad,"maybe, depending subject the claim covers",0
Details are provided about what kind of information they collect,The Privacy Policy describes in detail the data collected through the website and through the services provided.,30,good,,1
Do Not Track (DNT) headers are ignored and you are tracked anyway even if you set this header.,"Even though the Do Not Track (DNT) header was not implemented perfectly, services should not track users whose browsers send a DNT header.",60,bad,,1
Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision,"Even if the service does not or not always enforce all of the rules or provisions contained in its terms, they still apply. Users can at a later time still be held accountable for violating provisions that have not been enforced consistently.",10,neutral,,0
Features of the website are made available under a free software license,"This case applies to services under licenses that are free as in ""freedom"". According to the Free Software Foundation, ""free software is the software that grants the user the freedom to share, study, and modify it"". Furthermore, the code is entirely open source and may be used without any restriction, including for commercial purposes.",90,good,"licensing of parts of the SERVICE, seems like not privacy",0
First-party cookies are used,First-party cookies only belong to the domain of the service and not a third party.,10,neutral,All this third-party stuff seems privacy related,1
Generic,,,,,0
Harming minors in any ways is prohibited,"This service prohibits harming minor in any ways. Since both “minor” and “in any ways” are vague and can be cited to restrict possibly any actions, the case is not classified as “good”.",50,neutral,,0
"If you are the target of a copyright claim, your content may be removed",The content you have published on the service may be removed if it infringes copyright.,15,neutral,,0
"If you are the target of a copyright holder's take down notice, this service gives you the opportunity to defend yourself",You have the right to send a counter-notice to the service if you believe the content that was removed wasn't infringing any copyright.,20,good,,0
"If you offer suggestions to the service, they become the owner of the ideas that you give them","The service can claim ownership on feedback, proposals, ideas and suggestions submitted by the users, who may waive their ""moral rights"" on that feedback.",,,"moral rights listed here, so privacy",0
"If you offer suggestions to the service, they may use that without your approval or compensation, but they do not become the owner","The service may employ a broad copyright license over feedback, proposals, ideas and suggestions submitted, including the right to use them without restriction, compensation or obligation to the user, but they do not claim ownership on them.",,,licensing,0
Information is gathered about you through third parties,"This Service may employ, either identifiable or non-identifiable, data collection from third party sources about you.",,,,1
Information is provided about how they collect personal data,The service details situations in which they collect personal information or means by which they do.,,,,1
Information is provided about how your personal data is used,"The Privacy Policy explains the purposes for which data is collected and the way it is processed, used and shared.",,,,1
Information is provided about security practices,It's important to know what security measures are taken to protect your data from unauthorized access. This case applies to the Agreements that precisely explain their security practices.,,,This one is unclear to me,1
"Instead of asking directly, this Service will assume your consent merely from your usage.","The Service infers your acceptance from your continued usage, instead of prompting you to read the Terms and asking for direct consent.",,,,0
Instructions are provided on how to submit a copyright claim,"If content that you own is copied or made accessible through the service in a way that constitutes an intellectual property right infringement, you can report it following the instructions given in the agreements.",,,,0
Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder,"Should any portion of the Terms of Service be unenforceable or invalid, that portion will be enforced to the fullest extent permitted by applicable law and the remainder of the TOS will remain valid and enforceable.",,,,0
Logs are deleted after a finite period of time,"Logs are text files containing some information about web visitors, such as user agents (showing for instance that you're connecting from Firefox for Android) and ip addresses (which reveal your approximate location). This case applies to Services that periodically delete their logs to prevent user sessions being tracked over time.",,,,1
Many different types of personal data are collected,"The service collects different kinds of personal data, such as name, demographic information, postal address, biometric data, device information, IDs, contacts, call logs...",,,,1
Many third parties are involved in operating the service,,,,All this third-party stuff seems privacy related,1
Minors must have the authorization of their legal guardians to use the service,Minors must have the authorization of their legal guardians to use the services. The legal guardians are responsible for the use of the service by the minor.,,,"This is a privacy issue because there are a number of issues where minors need approval and it is causing a bunch of problems (e.g., getting an abortion)",0
No guarantee is given regarding quality,The Service doesn't warrant or guarantee the quality of the products or services provided.,,,,0
No need to register,This service can be used without providing a user profile.,,,,0
only for your individual use,,,,,0
Only necessary logs are kept by the service to ensure quality,"Logs are text files containing some information about web visitors, such as user agents (showing for instance that you're connecting from Firefox for Android) and ip addresses (which reveal your approximate location). This case applies to Services that only keep the strictly necessary logs on their servers and therefore protect your privacy.",,,,1
"Other applicable rules, terms, conditions or guidelines","Use of the service is subject also to an exhaustive list of other documents containing rules, guidelines, terms or policies (in addition to the obvious Terms of Service/Terms of Use and Privacy Policy/Data Use Policy)",,,"""other"" is always tough. Could be privacy related in some cases, but not in others",0
"Per the service's terms, you may not express negative opinions about them","Criticising, questioning, making objections or complaints about the Service, its staff or anything related to it is prohibited and constitutes a breach of the Terms.",,,This seems like pretty ridiculous censorship,0
Political discussions or campaining are prohibited,"Political content in the form or pictures, discussions, or campaigning isn't allowed.",,,,0
"Prices and fees may be changed at any time, without notice to you","The service reserves the right to change or modify its pricing and fees at any time, and such changes are effective immediately without need for further notice to the user.",,,,0
Private messages can be read,"The Service is able to access, scan, review or read all user communications, including private messages, which may contain personal or sensitive data.",,,,1
Pseudonyms are allowed due to the service's billing policies,You don't need to provide your full name to use the Service and you are allowed to use a pseudonym instead.,,,,1
Separate policies are employed for different parts of the service,The user may need to read additional product-specific agreements depending on the way the service is used.,,,,0
Some personal data may be kept for business interests or legal obligations,"After the end of the data retention period and/or if you request the deletion of your data, they may still keep it for business interests (fraud detection, transactions...) or legal obligations (tax, legal reporting...)",,,,1
Specific content can be deleted without reason and may be removed without prior notice,"This service can delete specific content. Usually they will claim they reserve the right to do it at their sole discretion, which is legalese for saying they won't give a specific reason. If the terms say they will not notify you, it shall be included in the quote but if it does not explicitly say they will give you a notice, it can be reasonably inferred that they can do it without telling you.",,,deleting content doesn't seem like it can run afoul of privacy (but editing can),1
"Spidering, crawling, or accessing the site through any automated means is not allowed",,,,"Caveat: if privacy violations occur, they will be limited in scope if people follow this",0
"Terms may be changed any time at their discretion, without notice to you","The Agreements can be updated at any time, including in a way that negatively affects user rights, without notifying before or after the changes.",,,depends on if the changes are privacy related. could go either way on this code,0
The copyright license maintained by the service over your data and/or content is broader than necessary.,,,,licensing of USER content means privacy,1
The copyright license that you grant this service is limited to the parties that make up the service's broader platform.,,,,"licensing. This one is very confusing. I think the license governs user data though, since it says ""you grant""",0
The court of law governing the terms is in a jurisdiction that is friendlier to user privacy protection.,The Terms are governed by the applicable laws of a jurisdiction known for protecting citizens privacy with strong data regulations. Usually contributors will need to explain in the Analysis view of each point linked to this Case why the jurisdiction is friendly to user privacy protection.,,,"As we discussed, I think we want to cmbine with the ""less friendly"" version and make it say something like ""the court of law governing the terms is in jurisdiction X"". Note that this would still be privacy-related, since picking the jurisdiction sets the bar for privacy rules",1
The court of law governing the terms is in a jurisdiction that is less friendly to user privacy protection.,The Terms are governed by the applicable laws of a jurisdiction known for weak data regulations and poor user privacy protection. Usually contributors will need to explain in the Analysis view of each point linked to this Case the reason why it shall be applied.,,,,1
The court of law governing the terms is in location X,"The Terms are governed by the applicable laws of a jurisdiction (specified in the title of each point by replacing the ""X"").",,,Jurisdiction setting also sets privacy regulations,1
The data retention period is kept to the minimum necessary for fulfilling its purposes,"The service will remove personal data from its systems once it is no longer required. Depending on the type of information and the reason it was collected, data retention periods will vary.",,,,1
The policy refers to documents that are missing or unfindable,"For instance, when the privacy policy refers to the cookie policy, but there is no link to a cookie policy, anywhere. It only applies to services that are impossible to contact to raise the issue, either because they don’t offer any contact method or they do not respond in a reasonable time.",,,"As with ""other"", this seems like it will be ""sometimes"" privacy-related",1
The posting of pornographic content is prohibited,"Users are not allowed to post any content of pornographic nature. This includes adult content, things that are sexually explicit, or obscene.",,,"I know enforcing this has proven to be hugely difficult and controversial, and touches on private behavior",1
The publishing of personally identifiable information without the owner’s consent is not allowed,"Users agree not to publicly post personally identifiable information (name, postal address, contact information…) without the owner’s knowledge or consent",,,,1
The service can intervene in user disputes,"If you have a dispute with another user on this service, they can review the issue and intervene. However, they don't have an obligation to do so.",,,,0
The service claims to be GDPR compliant for European users,The service has a different behavior towards users protected by the GDPR.,,,"I recall the GDPR has some privacy pieces (I have mostly read the articles pertaining to right to explanation, not the whole thing)",0
The service does not guarantee accuracy or reliability of the information provided,This service makes no warranty regarding the accuracy or reliability of any information that is given on its website or the results that may be obtained from the use of the service.,,,This doesn't seem privacy related. Essentially they are just claiming to be a pipeline,0
The service does not guarantee that software errors will be corrected,Users agree to use the service and its software as provided and accept that any errors within that software may not be corrected.,,,"""as is"" with respect to security means privacy violations might be common/easy to execute",0
The service has a no refund policy,Payments are final and can't be refunded unless required by law.,,,,0
The service has non-exclusive use of your content,The service can pay for your content and you are allowed to make it commercially available to other services/parties.,,,"not sure on this one, but I dont think it is privacy related",1
The service informs you that its privacy policy does not apply to third party websites,"The service states that whenever it links to third party websites or applications, its privacy policy does not apply. Those third party websites or applications hosted or operated by other organizations may have their own privacy policies.",,,"This seems like a standard thing to me, depending on terms. If it is ""WE will track you when you follow these links"", that is different from ""once you leave our ecosystem, THEY may track you, but thats not our deal""",1
The service is not responsible for linked or (clearly) quoted content from third-party content providers,,,,,0
The service is only available in some countries approved by its government,Countries under embargo or banned by the government of the country in question cannot use the service.,,,,0
The service is open-source,The code of the software is open-source and the users can have access to the source code.,,,Caveat: unless the source being open reveals security risk to bad guys,0
The service is provided 'as is' and to be used at your sole risk,"This service does not provide any guarantees as to its usability or fitness for the users' purposes. Users agree to use it at their own risk, accepting any possible bugs, malfunctions or harm to their devices.",,,"""as is"" with respect to security means privacy violations might be common/easy to execute",0
The service is transparent regarding government requests or inquiries that may involve your data.,,,,"tangential, but requests for data seem privacy related even when transparency is available",1
"The service may keep a secure, anonymized record of your data for analytical purposes even after the data retention period","The data retention period states how long a service keeps user data. In this case, the service may anonymize the personal data after its retention period is over and use it for analytical or research purposes.",,,data retention and anonymization,1
The service promises to inform and/or notify you regarding government inquiries that may involve your personal data,"In case the Government governing the Terms requests personal data of a user of this service, they will make reasonable efforts to inform/notify the user (e.g. warrant canary).",,,,1
"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service","The service provider expressly does not claim to provide uninterrupted, timely, secure or error-free service.",,,no warranty with respect to security means privacy violations might be common/easy to execute,0
The service will only respond to government requests that are reasonable,The Agreement explains they will disclose personal data about you if it is reasonably necessary to comply with applicable law and government requests.,,,,1
The service will resist legal requests for your information where reasonably possible,"The service will attempt to protect user information to a great extent, even so far as stating that they will only follow legal requirements to disclose user information in circumstances where this cannot be reasonably resisted.",,,,1
The terms for this service are easy to read,"The Agreements are well-organised, define legal terms (where applicable), aren't needlessly long and may be pleasant to read.",,,,0
The terms for this service are translated into different languages,"Although there's generally a unique binding language for the terms, they are translated to allow all users to understand the agreement they're accepting, no matter their native language.",,,,0
"The terms may be changed at any time, but you will receive notification of the changes","The Terms may be updated without prior notice, but users will be notified of the changes at the moment they will start applying.",,,,0
There is a date of the last update of the agreements,The given text has a date that allows to know when it was last updated.,,,,0
They may stop providing the service at any time,"They may discontinue the services without prior notice, at any time, for any or no reason. They usually assume no liability for losses and damages resulting from this suspension.",,,,0
Third parties are involved in operating the service,,,,All this third-party stuff seems privacy related,1
Third-party cookies are used for advertising,The service's website sets third-party cookies (cookies that do not belong to their domain) for purposes not including statistics and analytics.,,,All this third-party stuff seems privacy related,1
Third-party cookies are used for statistics,"For instance, Google Analytics, rather than self-hosted (first-party) statistics software.",,,All this third-party stuff seems privacy related,1
This service assumes no liability for any losses or damages resulting from any matter relating to the service,"The service assumes no liability for any damages the user incurs, including tangible (e.g. profits) and intangible losses (e.g. data), resulting from the use or inability to use the service or any other matter relating to the service.",,,,0
This service assumes no liability for unauthorized access to your personal information,,,,,1
This service assumes no responsibility and liability for the contents of links to other websites,The service rejects any responsibility for the contents of other websites to which it links.,,,,0
This service can use your content for all their existing and future services,,,,,1
This service cannot be held responsible for disputes that you may have with other users,"You are responsible for the interactions and the disputes that may occur with other users of the Service. In the event of a dispute, you release the Service from all claims resulting from it.",,,,0
This service does not condone any ideas contained in its user-generated contents,,,,,0
This service does not guarantee that it or the products obtained through it meet your expectations or requirements,"This service provider informs its users that the services, information, products, or other materials provided on its website may not meet the users' expectations or requirements.",,,,0
This service fines spammers,Sending unsolicited promotional communications through the Service (i.e. spam) is prohibited and spammers must pay a sum of money as a penalty.,,,,0
This service gives your personal data to third parties involved in its operation,Your personal data is or may be given to third parties essential to the service’s operation. This could be an external spam detection service for an internet forum.,,,,1
This service has a no refund policy with some exceptions,Payments can be refunded if some requirements are fulfilled.,,,,0
This service holds onto content that you've deleted,"Content may remain in backup servers and be retained after deletion, and thus never be completely deleted. This case doesn't apply to contributions that can't be removed due to the nature of the service.",,,,1
This service informs you that its Terms of Service does not apply to third party websites,"The service states that whenever it links to third party websites or applications, its Terms of Service does not apply. Those third party websites or applications hosted or operated by other organizations may have their Terms of Service.",,,"This third party situation is different, since it is about after you leave the walled garden of the service",0
This service is only available for use individually and non-commercially.,"Users can't use the Service for commercial purposes (unless the Service consents): it is only for personal, individual purposes.",,,,0
This service is only available to users over a certain age,The Services are intended for users who are at least a certain age. If you are younger than the age required then you are prohibited from using the Service.,,,,0
"This service may collect, use, and share location data",Location-based information is collected and may be used and/or shared with third parties for purposes not directly related to the services provided (i.e. the Service doesn't rely on the use or share of location data to function properly).,,,sharing of data,1
"This service offers a symbolic but nonbinding statement about a matter of opinion, ethics, society, or politics","If a service expresses a worldview antithetical to the user’s, that is a good signal that they should not use the service. Or conversely, if the service expresses an uncommonly-held belief that the user agrees with and thinks is relevant to the service-user relationship and/or important, they may wish to use that to choose between otherwise comparable services.",,,"This one is tricky, as privacy is wrapped up in matters of opinion/politices. As an example, see the abortion debate in US (Roe was rooted in the right to privacy)",0
This Service provides a list of Third Parties involved in its operation.,"The Service provides a list detailing the third parties involved, their roles, and may even provide more information.",,,,0
This service receives your precise location through GPS coordinates,"Unless the service relies on Geo Location, this case is to be assigned to points that don't need your GPS coordinates to function properly.",,,,1
This service reserves the right to disclose your personal information without notifying you,"If the Government governing the Terms requests personal data of a user of this service, they may not inform/notify the user while complying with the request.",,,,1
This service retains rights to your content even after you stop using your account,"The service may still use your content and display it after you stopped using it by closing your account, since you granted them a perpetual or (in some cases) an unlimited license over that content.",,,,1
This service shares your personal data with third parties that are not essential to its operation,Your personal data is or may be given to third parties nonessential to the service’s operation. This could be a business partner that receives your data to provide targeted advertisements.,,,,1
This service takes credit for your content,,,,This MIGHT be privacy related? seems more about ownership,0
This service will continue using anonymized user-generated content after erasure of personal information,"If you delete your account or your information from this service, user-generated content such as comments and posts will remain and still be used, but on a pseudonymized or anonymized form so that they can't be linked back to you.",,,anonymous language,1
Tracking pixels are used in service-to-user communication,"The service tracks the user count or some actions of the user; this is usually used for statistics. For example, emails sent by a service can contain a pixel tag, which is a small, clear image that can tell them whether or not you have opened an email and what your IP address is.",,,,1
Two factor authentication is provided for your account,"The service provides means of further securing your account with two factor authentification, thus greatly improving account security.",,,security policy with strong privacy implications,1
User accounts can be terminated after having been in breach of the terms of service repeatedly,"User accounts can be terminated for having been in breach of the terms of service repeatedly, meaning they cannot be terminated without a reason, but only for a limited number of reasons. Additionally, user accounts will not be deleted after a first infringement.",,,,0
User suspension from the service will be fair and proportionate.,"The Service promises to fairly terminate users accounts, only with a reason, and may give them an opportunity to explain and defend themselves.",,,,0
User-generated content can be blocked or censored for any reason,"The service reserves the right, for any or no reason, to refuse to post or reject user communications.",,,"This is about what is hidden (as opposed to what is shown), meaning I do not think it is privacy related, but could see an argument to the contrary",0
"User-generated content is encrypted, and this service cannot decrypt it","Content generated by the users is end-to-end encrypted, in a way that it can't be accessed by anyone unauthorised, and even the service has no technical means to decrypt it.",,,,1
Usernames can be rejected or changed for any reason,"The service's terms explain they may change or remove usernames at their sole discretion, and they may do so without prior notice.",,,,0
Users who have been permanently banned from this service are not allowed to re-register under a new account,"Once users have been permanently banned from this service, they are not allowed to create a new account to keep using the service.",,,,0
very broad,,,,,0
"When the service wants to change its terms, you are notified a week or more in advance.","Users will be notified a week before the Terms are somehow updated, which lets them a reasonable amount of time to carefully read the changes and perhaps stop using the services if they do not longer agree.",,,,0
"When the service wants to make a material change to its terms, you are notified at least 30 days in advance","The service may update the Terms without notice, but if they significantly change the agreements in a manner that importantly and/or negatively affects the way the service is used, users will be notified at least 30 days in advance.",,,,0
You agree not to submit illegal content,,,,,0
"You agree not to submit libelous, harassing or threatening content","This service prohibits users from submitting content of a variety of types. This can include content that is unlawful, harassing, abusive, threatening, libelous, sexist, racist, homophobic, transphobic, or discriminatory in any other way.",,,,0
You agree not to use the service for illegal purposes,"The user agrees not to commit any unlawful acts through the use of the website, including the posting of illegal content or messaging.",,,"Could see an argument to the contrary, depending on the illegal purpose (e.g., doxxing)",0
You agree to comply with the law of the service's country,"By using the service, you agree to comply with the applicable laws of the service's jurisdiction, regardless of your location.",,,presumably one of the laws governs privacy,0
"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service","By using the service, you agree to comply with the applicable laws of the service's jurisdiction, regardless of your location.",,,"maybe, depending subject the claim covers",0
You are allowed to quote their content with attribution,,,,"If ""their"" is other users, seems privacy related. If ""their"" is the service, probably not",0
You are being tracked via social media cookies/pixels,These types of cookies/pixels send information to social media sites when you interact with the service.,,,,1
You are entitled to a refund if certain thresholds or standards are not met by the service,,,,,0
You are forced into binding arbitration in case of disputes,This service forces users to use their own contracted arbitrator and forces users to waive their rights to jury trial.,,,"maybe, depending what arbitration subject is",0
You are free to choose the type of copyright license that you want to use over your content,You have the right to choose or change the copyright license over content you publish through the Service.,,,licensing of USER content means privacy,1
You are informed about the risk of publishing personal info online,,,,"tangential I think, but privacy related",1
"You are not allowed to use pseudonyms, as trust and transparency between users regarding their identities is relevant to the service.","You must provide your legal name and pseudonyms aren't allowed, but it makes sense for the purposes of this service.",,,pseudonyms seem typically privacy related,1
You are prohibited from attempting to gain unauthorized access to other computer systems,The service does not allow any attempts at hacking or otherwise gaining unauthorized access to other users' computers.,,,security issue that leads to a privacy issue,1
You are prohibited from posting content which promotes violence or politically or religiously extremist values.,Users are not allowed to post extremist political or religious content. They are also not allowed to post content that glorifies violence.,,,,0
"You are prohibited from sending chain letters, junk mail, spam or any unsolicited messages","Users are not allowed to use the service for chain letters, junk mail, spamming or any other distribution of content to people who have not agreed to receiving it.",,,"privacy incorporates ""right to be left alone"", which spam is very relevant to",0
"You are responsible for any risks, damages, or losses that may incur by downloading materials",Users are responsible for any harm to their computer system or loss of data they may incur through the download of materials from the service.,,,"One risk is something like a trojan, which would be privacy related",0
You are responsible for maintaining the security of your account and for the activities on your account,"You are responsible for protecting the confidentiality of your password and for maintaining the security of your account. Any activity occurring under your account is your responsibility, whether authorized by you or not.",,,hacked account content is my problem? nice,1
You are solely responsible for claims made against the service and agree to indemnify and hold harmless the service.,,,,"maybe, depending subject the claim covers",0
"You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting","Tracking technologies (such as web beacons, tracking pixels...) are employed on users and/or the service assigns a unique ID to a browser or device to track its behaviour.",,,,1
You are warned of the potential consequences related to third-party access,"This is different from disclaiming liability for external links, which is handled by the ""This service assumes no responsibility and liability for the contents of links to other websites"" case.",,,"definition says what it isnt, not what it is",0
You aren’t allowed to publicly post private messages,The service does not allow users to publicly post private messages they have received from other users.,,,,1
You aren’t allowed to remove or edit user-generated content,You cannot edit or remove your content from this service.,,,,1
You aren’t forced into binding arbitration in case of disputes,"Binding Arbitration is a dispute resolution method involving a neutral third party which will render a decision instead of going to court. Since the arbitrator can decide the outgoing of a dispute without evidences or a legal basis, it is preferable that users decide whether they want or not their dispute to be resolved this way.",,,"maybe, depending what arbitration subject is",0
You authorise the service to charge a credit card supplied on re-occurring basis,"You card will be billed on recurring basis unless cancelled. For instance, monthly or annual subscriptions.",,,,0
You can access most of the pages on the service's website without revealing any personal information,"The service does not require users to reveal personal information for most of its website. However, it may still collect anonymous logs.",,,anonymous language,1
You can choose the copyright license,You have the right to choose or change the license over content you publish through the Service.,,,licensing of USER content means privacy,0
You can choose with whom you share content,Users can decide whether or not they want their content to be shared and they can control how and with whom it is shared.,,,"see ""cannot""",1
You can delete your content from this service,"You can ask the service to remove your content at any time, and it's deleted within a reasonable time.",,,"see ""cannot""",1
You can opt out of promotional communications,You can update your account preferences and/or easily unsubscribe of email/sms lists to stop receiving promotional communications.,,,"see ""cannot""",0
"You can request access, correction and/or deletion of your data","Users have the right to access personal data hold by the Service, correct it and/or permanently delete it. This usually applies to Services GDPR compliants.",,,,1
You can retrieve an archive of your data,Users can request a copy of the data collected through the services and infer from it the amount of personal information that is processed and stored by the Service. This usually applies to Services GDPR compliants.,,,"Tangential, but obtaining this archive lets one know what personal info they HAVE",1
"You can scrape the site, as long as it doesn't impact the server too much",Automated web scraping is a method of extracting information from a website. The service authorises scraping if it doesn't impact its server(s) too much.,,,"presumably the information on the site is public, so not privacy related? (if private information is visible for scraping, then it would be)",0
"You cannot delete your contributions, but it makes sense for this service",For services that are under an open license where your contributions are for public knowledge (such as Wikipedia and ToS;DR).,,,I don't see why that would ever make sense for a service,1
You cannot distribute or disclose your account to third parties,"In this context third-parties refers to anyone including friends, family, or company",,,control over what the user can disclose seems privacy related,1
You cannot opt out of promotional communications,This applies to cases where opting out of promotional communications requires sending a written letter by mail or is otherwise more complicated and time consuming than necessary.,,,Getting spammed by force seems privacy related,0
You have a reduced time period to take legal action against the service,"If you wish to bring legal action against a service about a past incident, you may not be able to do so if the Terms you agreed to implied a limited amount of time. As a result it may be worthy to carefully read that section of the Terms to know exactly how much time you might have before your right to take legal action expires.",,,"This is also borderline, since it depends what the legal action pertains to",0
You have the right to leave this service at any time,"You can stop using the service and/or cancel or delete your account at any time for any reason. Moreover, the termination is reasonably fast and simple.",,,I think this is not privacy related because it remains agnostic as to what happens with user data,0
You maintain ownership of your content,"This service does not claim ownership over user-generated content or materials, and the user doesn't need to waive any moral rights by posting owned content.",,,"moral rights listed here, so privacy",1
You must create an account to use this service,You must provide the service with your information in order to use it,,,gatekeeping based on info sharing,1
You must provide your identifiable information,"The Service requires users to provide their identifiable information, including phone number, iD number or other information, even though this data collection isn’t essential for the purposes of the service. They may still allow pseudonyms in the foreground.",,,Gatekeeping based on info sharing,1
"You must provide your legal name, pseudonyms are not allowed",You must provide your legal name and pseudonyms aren't allowed. This case doesn't apply to Services for which transparency regarding users identities is relevant for their purposes.,,,,1
You must report to the service any unauthorized use of your account or any breach of security,The service asks the user to notify them immediately of any unauthorized use or security breaches.,,,"Seems like this is wrapped up in ""right to be left alone""",1
You shall not interfere with another person's enjoyment of the service,"Users are asked not to interfere with another person't enjoyment in using the service. However, this statement is very vague and open to interpretation by the service itself.",,,"Seems like this is wrapped up in ""right to be left alone""",1
"You should revisit the terms periodically, although in case of material changes, the service will notify","The service may update the Terms without notice, but if they significantly change the agreements in a manner that importantly and/or negatively affects the way the service is used, users will be notified.",,,"Depending on the changes, this MAY be privacy related",0
You waive your moral rights,"Moral rights are rights to creators of literary, dramatic, musical and artistic works, as well as directors of films. ""The moral rights include the right of attribution, the right to have a work published anonymously or pseudonymously, and the right to the integrity of the work. The preserving of the integrity of the work allows the author to object to alteration, distortion, or mutilation of the work that is ""prejudicial to the author's honor or reputation"". Anything else that may detract from the artist's relationship with the work even after it leaves the artist's possession or ownership may bring these moral rights into play. Moral rights are distinct from any economic rights tied to copyrights. Even if an artist has assigned his or her copyright rights to a work to a third party, he or she still maintains the moral rights to the work."" -Wikipedia In general, any terms that use the exact words ""moral rights"" as rights that are waived will fall under this Case.",,,"anonymity is in here, therefore privacy related",1
You waive your right to a class action.,"The right to be represented in a class action (or representative action) exists in the US and some European countries. It allows people who have been similarly injured by the same accused to take legal action by a single lawsuit instead of individually. Some Terms of Service try to limit that right. By agreeing to them, you could waive (= renounce to) your right to a class action, which might reduce your chances to be successful in a case.",,,"I think that this is privacy-related. There have been a few high profile class action cases about privacy/security recently, e.g. Morgan Stanley just got whacked",0
You will be notified about website maintenance,Users will be notified before their experience is impacted due to website maintenance.,,,,0
You will be notified if personal data has been affected by data breaches,"Should the personal information of a service be compromised, the service will inform users if any personal data has been affected by data breaches. This case is also related to privacy.",,,,1
Your account can be deleted without prior notice and without a reason,"At any time, your account can be terminated without explanation and without warning by the service.",,,,0
Your account can be suspended for several reasons,,,,,0
Your content can be deleted if you violate the terms,"Content infringing the Terms of Service (or the Acceptable Use Policy or equivalent) may be removed, with or without notice.",,,"In general I think deletion policy doesnt touch privacy, but could see an argument to the contrary",0
Your content can be distributed through any media known now or in the future,,,,,1
Your content can be licensed to third parties,"By posting content through the Services, users grant them a transferable and/or sublicensable right, which allows user content to be licensed to third parties.",,,,1
Your data may be processed and stored anywhere in the world,"Your data is stored all over the world, including in countries where data protection rules may differ from the ones of the service's jurisdiction or those of your country jurisdiction.",,,,1
Your feedback is invited regarding changes to the terms.,The Service takes user suggestions into account to update its Terms.,,,This one could be privacy-related depending on the suggestions and if they adjust the policy,0
Your identity is used in ads that are shown to other users,Ads shown to other users may include a reference to you as an implied endorsement. Might give away information about your own personal lifestyle to strangers.,,,,1
